,Med,Eur,Pot4kw,EK,Nek,C1500,C1520,C2025,C2500,C3000,HEATING,COOLING
3655,0.1194,0.084,0.114172222,0.1157419,0.1142386,0.100858,0.111255202,0.132331424,0.155061473,0.17904,0,0
3656,0.1317,0.084,0.12599188,0.127983,0.1233838,0.105041,0.118298758,0.149259549,0.186308048,0.224943333,0,0
3657,0.1348,0.084,0.12675812,0.1296694,0.1303905,0.11387,0.123535559,0.159931858,0.199110959,0.26653,0,0
3658,0.1503,0.084,0.134625641,0.1435233,0.1431184,0.112103,0.140519177,0.173964323,0.201971918,0.270765,0,0
3659,0.186,0.084,0.163617806,0.1785113,0.1636947,0.121593,0.165675311,0.21109809,0.294209418,0.472613333,0,0
3660,0.2523,0.084,0.226741453,0.26201,0.2285635,0.137211,0.239990606,0.296136198,0.427283048,0.651395,0,0
3661,0.3521,0.084,0.272828775,0.4163223,0.279383,0.189671,0.309478649,0.415645399,0.629033562,0.888316667,0,0
3662,0.3079,0.084,0.284828348,0.3235606,0.2997459,0.174578,0.254805512,0.372774219,0.456340582,0.48267,0,0
3663,0.3103,0.084,0.280128775,0.291557,0.3001129,0.17856,0.238129115,0.360121875,0.473099829,0.477656667,0,0
3664,0.253,0.084,0.226182764,0.2474011,0.2400954,0.160712,0.189705435,0.304561545,0.387399829,0.438758333,0,0
3665,0.2024,0.084,0.17349359,0.2053441,0.1957543,0.131621,0.159019255,0.241303212,0.315589384,0.312128333,0,0
3666,0.2297,0.084,0.212695014,0.2300532,0.2265044,0.15841,0.202375621,0.262426128,0.326739212,0.358568333,0,0
3667,0.2983,0.084,0.254324501,0.2977281,0.2716385,0.2173,0.261814053,0.330278472,0.372097774,0.416276667,0,0
3668,0.3516,0.084,0.290847436,0.3480359,0.3045068,0.226823,0.312619255,0.373201476,0.45492226,0.651341667,0,0
3669,0.2934,0.084,0.241337322,0.276821,0.2480281,0.159027,0.244272826,0.326565885,0.385744178,0.450366667,0,0
3670,0.3092,0.084,0.262139316,0.2926027,0.2659169,0.16956,0.245054658,0.340579253,0.43147911,0.467355,0,0
3671,0.2124,0.084,0.185281909,0.2019978,0.1946717,0.141985,0.169140295,0.238040104,0.294816781,0.330478333,0,0
3672,0.1263,0.084,0.114167379,0.1207853,0.1259817,0.09535,0.108426398,0.141416319,0.199542466,0.187471667,0,0
3673,0.1074,0.084,0.100041168,0.1047528,0.1080968,0.09044,0.099000543,0.1240875,0.144324315,0.14634,0,0
3674,0.1002,0.084,0.096930342,0.1015906,0.0985838,0.089611,0.09732632,0.115007813,0.13175137,0.144406667,0,0
3675,0.098,0.084,0.096941026,0.0984317,0.0984268,0.08912,0.09780264,0.112559375,0.126192637,0.143801667,0,0
3676,0.0993,0.084,0.097457265,0.0982272,0.0984878,0.088899,0.098215683,0.113630903,0.125379452,0.144053333,0,0
3677,0.1024,0.084,0.098967664,0.0990247,0.099738,0.089525,0.098205357,0.117023264,0.127144521,0.152631667,0,0
3678,0.1075,0.084,0.10240641,0.1077298,0.1041914,0.090954,0.101899612,0.126505382,0.150321233,0.161248333,0,0
3679,0.1267,0.084,0.118849288,0.1155788,0.1216568,0.09677,0.114303649,0.141027083,0.15752774,0.14999,0,0
3680,0.1434,0.084,0.131347293,0.1232014,0.1351064,0.104865,0.130341925,0.152276563,0.156638356,0.15347,0,0
3681,0.1342,0.127,0.128264245,0.1230802,0.1373471,0.107248,0.129785637,0.151496007,0.16383887,0.181806667,0,0
3682,0.1414,0.127,0.143605271,0.1367327,0.1462446,0.118626,0.136125233,0.160715365,0.188297945,0.186173333,0,0
3683,0.1736,0.224,0.15545114,0.1890035,0.1634609,0.146046,0.162446506,0.2026125,0.247564384,0.252901667,0,0
3684,0.251,0.224,0.225643875,0.2861431,0.2241391,0.161803,0.238319876,0.277189931,0.426954966,0.63325,0,0
3685,0.361,0.224,0.2492,0.4899069,0.2570512,0.189309,0.310084472,0.446416059,0.533516096,0.529695,0,0
3686,0.3002,0.224,0.27169886,0.3005462,0.276679,0.185984,0.244918866,0.34776276,0.39707911,0.376913333,0,0
3687,0.2903,0.127,0.287456268,0.2723617,0.2882957,0.195251,0.236516537,0.332946094,0.406649658,0.441203333,0,0
